divorces;density;fem;violence;alcoholism;drugs;funemployed;munemplyed;salary;c_criminal;c_economic;c_life
144;0;102;104;226;9;1071;2142;3761,95;1249;182;41
90;0;102;21;127;5;800;1083;3979,2;455;68;27
188;1;104;23;188;11;537;1181;4438,86;1828;604;76
146;1;100;69;237;9;480;1010;3957,61;1254;254;47
76;0;100;68;164;5;691;1138;3720,35;593;206;26
132;0;102;57;272;12;524;1196;4362,36;924;185;33
132;0;103;51;287;22;758;1141;4203,78;1419;151;39
81;1;105;26;336;22;779;1424;3868,76;799;169;48
51;0;101;41;125;3;553;947;4065,87;444;68;18
126;1;102;31;126;6;844;1106;4198,77;1010;180;44
149;0;100;47;549;14;946;1343;4149,86;1095;207;33
178;0;103;52;416;20;866;1642;4323,8;1900;344;82
173;1;103;68;227;28;911;1904;4392,16;1688;228;46
329;1;102;84;523;27;1224;2775;4046,77;2420;627;68
54;0;101;35;123;9;272;841;3982,12;426;58;19
760;1;111;36;284;38;2796;3756;5642;8065;1819;279
432;1;112;19;478;39;1094;1685;5347,46;3691;1747;106
175;1;112;11;651;41;622;747;4057,24;1411;288;30
37;1;115;14;68;2;165;181;5700,74;959;232;31
291;1;110;65;317;8;1658;2055;4066,61;3161;2224;101
269;1;105;27;180;10;864;1078;4210,2;1189;289;78
299;1;106;85;249;25;1470;1860;4107,37;1820;652;91
179;0;104;14;208;4;1449;1674;3922,86;989;187;50
164;1;106;107;246;15;740;1078;4152,62;1490;155;85
112;0;103;11;115;2;1124;1324;3463,1;497;192;42
110;0;103;9;102;2;656;1030;4296,91;626;155;24
162;1;106;27;104;4;457;833;4182,15;1326;711;105
133;1;107;29;50;1;739;850;4029,82;665;922;30
152;1;105;19;117;14;530;870;4031,68;943;846;39
170;1;108;7;69;6;544;1113;4492,3;1170;664;75
108;1;103;24;61;5;315;696;4073,76;794;116;50
171;1;106;43;248;11;1148;1656;4364,71;1542;419;68
96;1;103;16;51;0;229;330;4310,64;730;155;22
277;1;106;57;223;15;777;1512;3725,84;1440;443;62
202;1;107;26;328;24;1256;1775;4368,35;1431;1010;47
242;1;105;38;159;3;1644;1995;4577,28;1166;2175;51
403;1;112;36;339;9;906;1152;4731,61;2700;1315;83
299;1;109;62;265;12;1803;2603;4322,58;3648;1240;98
247;1;110;23;178;22;742;1136;4311,91;1973;619;64
448;1;113;9;310;17;1823;2237;4222,51;3848;988;166
285;1;109;24;77;6;1189;1689;5451,26;2787;990;66
342;1;108;84;332;25;1557;1814;5451,31;3883;958;153
227;1;105;6;186;17;523;964;8121,08;1267;311;171
189;1;106;144;132;23;524;791;5848,34;1137;484;41
527;1;110;26;355;26;1558;2021;5698,98;6899;2551;297
144;1;107;21;89;8;537;863;4294,85;1132;630;36
108;1;109;176;233;11;473;624;4868,16;890;2563;24
246;1;107;56;319;7;496;779;4081,18;2051;1114;77
280;1;105;19;315;32;606;1330;4400,84;2030;594;116
102;1;110;5;74;17;431;714;4380,81;927;443;46
398;1;111;13;150;16;2149;2462;4385,51;3941;2109;159
89;1;108;11;105;18;294;585;3915,87;1006;403;33
243;1;108;18;181;18;683;911;4630,83;2224;493;114
325;1;107;15;172;9;1219;1891;4490,42;3455;1754;105
113;1;105;11;69;11;205;466;4263,76;862;323;43
107;0;105;20;125;1;693;697;3846,44;659;148;17
118;0;102;121;225;4;929;1542;4440,95;593;756;25
31;0;103;4;27;0;605;617;3544,35;236;129;13
216;0;101;285;422;3;3827;4130;3777,02;1365;247;83
109;0;103;82;172;12;1462;1943;3943,8;635;140;36
54;0;101;9;108;1;1623;1516;3692,26;385;100;19
188;1;109;32;398;11;2020;2291;3813,5;1334;187;58
56;0;103;4;34;0;459;668;3925,26;464;97;15
115;1;105;21;106;0;1144;1327;4359,4;573;200;29
112;1;107;21;133;3;1967;1934;3965,25;1316;525;29
135;1;106;31;419;21;1569;1566;4170,22;986;170;57
93;0;102;13;162;3;961;1304;4271,73;492;174;25
40;0;100;8;87;0;498;802;4089,25;264;360;11
351;1;113;33;366;19;3128;2896;4493,16;3135;1674;132
86;0;105;9;196;12;1775;2074;3779,51;697;111;40
56;0;100;17;170;2;1259;1604;3713,26;539;71;32
105;0;103;48;157;19;1221;2444;3698,59;705;124;28
79;0;100;93;232;5;1251;1932;3735,95;471;200;34
197;0;104;18;275;19;1766;2246;3693,95;1232;200;68
